
The number of tuples used in the solution set is: 625 out of the 816 possible ones. They are:

tuple		times seen
-----		----------
(3, 5, 6)	:1
(1, 4, 17)	:1
(5, 10, 13)	:1
(4, 7, 10)	:1
(1, 2, 13)	:1
(2, 16, 17)	:1
(7, 9, 18)	:1
(2, 10, 18)	:1
(1, 8, 9)	:1
(5, 8, 16)	:1
(1, 3, 15)	:1
(1, 5, 7)	:1
(2, 5, 15)	:1
(2, 9, 11)	:1
(4, 6, 7)	:1
(1, 4, 8)	:1
(4, 13, 17)	:1
(6, 12, 17)	:1
(1, 11, 12)	:1
(2, 7, 9)	:1
(7, 9, 15)	:1
(14, 16, 18)	:1
(11, 14, 15)	:1
(7, 8, 16)	:1
(3, 5, 13)	:1
(2, 6, 18)	:1
(1, 3, 14)	:1
(8, 13, 18)	:1
(8, 13, 17)	:1
(12, 15, 18)	:1
(1, 9, 11)	:1
(3, 13, 18)	:1
(1, 15, 16)	:1
(3, 8, 15)	:1
(6, 16, 18)	:1
(5, 7, 8)	:1
(4, 16, 17)	:1
(2, 6, 7)	:1
(6, 11, 13)	:1
(4, 8, 12)	:1
(8, 10, 17)	:1
(10, 12, 17)	:1
(2, 5, 7)	:1
(4, 12, 13)	:1
(5, 13, 15)	:1
(2, 14, 17)	:1
(7, 9, 14)	:1
(4, 9, 13)	:1
(7, 17, 18)	:1
(4, 7, 9)	:1
(1, 2, 6)	:1
(1, 11, 18)	:1
(1, 6, 8)	:1
(2, 3, 7)	:1
(9, 16, 17)	:1
(7, 10, 16)	:1
(3, 8, 12)	:1
(6, 10, 13)	:1
(5, 14, 18)	:1
(11, 13, 14)	:1
(8, 15, 18)	:1
(9, 10, 15)	:1
(1, 6, 9)	:1
(6, 8, 9)	:1
(5, 16, 18)	:1
(7, 14, 18)	:1
(2, 9, 12)	:1
(4, 14, 16)	:1
(10, 13, 18)	:1
(5, 8, 15)	:1
(4, 12, 17)	:1
(6, 14, 15)	:1
(1, 4, 10)	:1
(3, 11, 14)	:1
(3, 11, 16)	:1
(2, 11, 17)	:1
(2, 10, 16)	:1
(7, 8, 15)	:1
(8, 10, 15)	:1
(1, 3, 7)	:1
(2, 12, 18)	:1
(4, 15, 17)	:1
(2, 7, 13)	:1
(1, 13, 15)	:1
(6, 8, 16)	:1
(10, 12, 18)	:1
(5, 7, 16)	:1
(1, 12, 13)	:1
(3, 4, 7)	:1
(1, 6, 13)	:1
(9, 11, 12)	:1
(4, 5, 11)	:1
(9, 11, 14)	:1
(2, 4, 10)	:1
(3, 17, 18)	:1
(1, 4, 18)	:1
(1, 12, 14)	:1
(1, 14, 16)	:1
(8, 14, 17)	:1
(2, 4, 11)	:1
(1, 10, 15)	:1
(3, 6, 7)	:1
(7, 11, 15)	:1
(3, 13, 15)	:1
(6, 7, 13)	:1
(4, 6, 11)	:1
(3, 10, 13)	:1
(1, 10, 11)	:1
(8, 9, 14)	:1
(1, 15, 17)	:1
(13, 15, 17)	:1
(4, 11, 18)	:1
(4, 9, 15)	:1
(3, 7, 14)	:1
(6, 7, 16)	:1
(5, 12, 14)	:1
(5, 6, 8)	:1
(1, 6, 18)	:1
(6, 9, 16)	:1
(5, 7, 9)	:1
(3, 7, 8)	:1
(2, 3, 12)	:1
(4, 7, 18)	:1
(3, 10, 18)	:1
(11, 12, 18)	:1
(3, 10, 11)	:1
(1, 11, 13)	:1
(4, 5, 13)	:1
(1, 4, 9)	:1
(2, 9, 16)	:1
(4, 6, 14)	:1
(2, 8, 13)	:1
(5, 8, 17)	:1
(2, 8, 14)	:1
(6, 15, 17)	:1
(1, 3, 5)	:1
(1, 11, 16)	:1
(1, 7, 13)	:1
(3, 8, 10)	:1
(5, 12, 15)	:1
(13, 16, 17)	:1
(4, 9, 16)	:1
(4, 14, 18)	:1
(2, 8, 11)	:1
(5, 6, 14)	:1
(6, 12, 18)	:1
(4, 9, 17)	:1
(2, 9, 18)	:1
(5, 6, 10)	:1
(3, 10, 12)	:1
(9, 10, 17)	:1
(2, 3, 18)	:1
(3, 4, 8)	:1
(1, 14, 15)	:1
(3, 9, 16)	:1
(5, 10, 17)	:1
(6, 13, 15)	:1
(4, 11, 14)	:1
(8, 16, 17)	:1
(4, 17, 18)	:1
(7, 8, 18)	:1
(8, 16, 18)	:1
(3, 5, 10)	:1
(6, 8, 15)	:1
(6, 7, 14)	:1
(1, 10, 17)	:1
(1, 5, 16)	:1
(2, 7, 12)	:1
(12, 15, 17)	:1
(1, 9, 18)	:1
(1, 9, 14)	:1
(2, 5, 6)	:1
(3, 14, 18)	:1
(3, 7, 16)	:1
(2, 4, 13)	:1
(8, 14, 18)	:1
(7, 14, 15)	:1
(1, 13, 18)	:1
(2, 10, 15)	:1
(4, 5, 18)	:1
(5, 9, 13)	:1
(7, 11, 16)	:1
(10, 14, 17)	:1
(4, 7, 8)	:1
(2, 15, 17)	:1
(5, 6, 17)	:1
(4, 11, 13)	:1
(2, 3, 9)	:1
(3, 8, 9)	:1
(12, 16, 17)	:1
(2, 4, 6)	:1
(15, 17, 18)	:1
(4, 8, 18)	:1
(9, 12, 15)	:1
(5, 15, 17)	:1
(10, 11, 12)	:1
(7, 9, 12)	:1
(1, 7, 10)	:1
(2, 6, 13)	:1
(2, 5, 10)	:1
(1, 3, 16)	:1
(1, 2, 7)	:1
(3, 8, 14)	:1
(1, 8, 14)	:1
(4, 6, 16)	:1
(4, 5, 14)	:1
(9, 15, 17)	:1
(1, 8, 11)	:1
(7, 15, 18)	:1
(3, 10, 17)	:1
(8, 10, 16)	:1
(1, 9, 13)	:1
(2, 5, 13)	:1
(7, 15, 16)	:1
(7, 8, 9)	:1
(4, 6, 18)	:1
(1, 14, 17)	:1
(6, 12, 14)	:1
(2, 12, 17)	:1
(2, 12, 14)	:1
(1, 2, 5)	:1
(10, 16, 17)	:1
(4, 5, 9)	:1
(3, 12, 13)	:1
(3, 5, 11)	:1
(1, 2, 3)	:1
(6, 8, 11)	:1
(2, 10, 13)	:1
(7, 9, 13)	:1
(14, 15, 18)	:1
(2, 8, 18)	:1
(10, 14, 15)	:1
(9, 14, 17)	:1
(4, 12, 16)	:1
(2, 6, 16)	:1
(3, 14, 17)	:1
(6, 9, 12)	:1
(6, 11, 14)	:1
(5, 11, 14)	:1
(10, 12, 14)	:1
(4, 10, 17)	:1
(1, 15, 18)	:1
(2, 3, 13)	:1
(1, 3, 4)	:1
(5, 8, 18)	:1
(5, 15, 16)	:1
(1, 8, 17)	:1
(6, 9, 15)	:1
(1, 9, 10)	:1
(13, 15, 18)	:1
(5, 6, 18)	:1
(5, 9, 11)	:1
(6, 7, 17)	:1
(11, 15, 16)	:1
(9, 10, 13)	:1
(1, 13, 14)	:1
(1, 7, 11)	:1
(6, 7, 8)	:1
(8, 11, 14)	:1
(2, 5, 17)	:1
(1, 3, 12)	:1
(2, 4, 15)	:1
(3, 4, 16)	:1
(12, 16, 18)	:1
(4, 10, 12)	:1
(2, 3, 14)	:1
(2, 3, 4)	:1
(11, 13, 16)	:1
(9, 14, 16)	:1
(12, 14, 16)	:1
(9, 13, 15)	:1
(4, 10, 15)	:1
(2, 6, 10)	:1
(3, 4, 5)	:1
(2, 9, 10)	:1
(5, 6, 15)	:1
(7, 8, 17)	:1
(7, 11, 18)	:1
(12, 17, 18)	:1
(8, 11, 12)	:1
(1, 3, 18)	:1
(2, 6, 12)	:1
(1, 6, 15)	:1
(6, 11, 16)	:1
(5, 7, 13)	:1
(8, 14, 15)	:1
(8, 12, 14)	:1
(4, 8, 9)	:1
(3, 4, 14)	:1
(1, 3, 9)	:1
(13, 17, 18)	:1
(9, 16, 18)	:1
(3, 11, 13)	:1
(3, 12, 16)	:1
(5, 9, 12)	:1
(5, 7, 17)	:1
(7, 10, 17)	:1

The number of tuples not used in the group is: 191. They are:

tuple		times seen
-----		----------
(1, 2, 15)	:0
(1, 2, 16)	:0
(1, 2, 18)	:0
(1, 3, 6)	:0
(1, 3, 13)	:0
(1, 3, 17)	:0
(1, 4, 7)	:0
(1, 4, 11)	:0
(1, 4, 15)	:0
(1, 4, 16)	:0
(1, 5, 8)	:0
(1, 5, 13)	:0
(1, 5, 17)	:0
(1, 5, 18)	:0
(1, 6, 7)	:0
(1, 6, 10)	:0
(1, 6, 14)	:0
(1, 7, 17)	:0
(1, 7, 18)	:0
(1, 8, 10)	:0
(1, 8, 12)	:0
(1, 8, 13)	:0
(1, 8, 15)	:0
(1, 8, 16)	:0
(1, 8, 18)	:0
(1, 10, 13)	:0
(1, 13, 17)	:0
(1, 14, 18)	:0
(1, 16, 17)	:0
(1, 16, 18)	:0
(1, 17, 18)	:0
(2, 3, 5)	:0
(2, 3, 10)	:0
(2, 3, 11)	:0
(2, 3, 17)	:0
(2, 4, 14)	:0
(2, 4, 17)	:0
(2, 4, 18)	:0
(2, 5, 8)	:0
(2, 5, 9)	:0
(2, 5, 11)	:0
(2, 5, 18)	:0
(2, 6, 9)	:0
(2, 6, 11)	:0
(2, 6, 15)	:0
(2, 7, 8)	:0
(2, 7, 11)	:0
(2, 7, 16)	:0
(2, 8, 15)	:0
(2, 8, 17)	:0
(2, 9, 13)	:0
(2, 9, 17)	:0
(2, 10, 12)	:0
(2, 11, 15)	:0
(2, 11, 16)	:0
(2, 11, 18)	:0
(2, 12, 15)	:0
(2, 13, 18)	:0
(2, 14, 15)	:0
(2, 15, 16)	:0
(3, 4, 15)	:0
(3, 5, 8)	:0
(3, 5, 14)	:0
(3, 5, 18)	:0
(3, 6, 10)	:0
(3, 6, 15)	:0
(3, 6, 16)	:0
(3, 6, 18)	:0
(3, 7, 9)	:0
(3, 7, 11)	:0
(3, 8, 11)	:0
(3, 9, 10)	:0
(3, 9, 12)	:0
(3, 9, 18)	:0
(3, 10, 14)	:0
(3, 10, 15)	:0
(3, 10, 16)	:0
(3, 11, 12)	:0
(3, 12, 14)	:0
(3, 12, 17)	:0
(3, 12, 18)	:0
(3, 13, 14)	:0
(3, 13, 16)	:0
(3, 13, 17)	:0
(3, 14, 15)	:0
(3, 16, 17)	:0
(4, 5, 7)	:0
(4, 5, 10)	:0
(4, 5, 12)	:0
(4, 5, 15)	:0
(4, 6, 8)	:0
(4, 6, 12)	:0
(4, 7, 12)	:0
(4, 7, 15)	:0
(4, 8, 11)	:0
(4, 9, 10)	:0
(4, 9, 12)	:0
(4, 10, 11)	:0
(4, 10, 16)	:0
(4, 11, 16)	:0
(4, 12, 14)	:0
(4, 12, 15)	:0
(4, 12, 18)	:0
(4, 13, 16)	:0
(4, 15, 18)	:0
(4, 16, 18)	:0
(5, 6, 7)	:0
(5, 6, 12)	:0
(5, 6, 13)	:0
(5, 7, 11)	:0
(5, 7, 12)	:0
(5, 8, 11)	:0
(5, 9, 14)	:0
(5, 9, 16)	:0
(5, 9, 18)	:0
(5, 10, 11)	:0
(5, 11, 12)	:0
(5, 12, 13)	:0
(5, 12, 17)	:0
(5, 13, 16)	:0
(5, 15, 18)	:0
(5, 16, 17)	:0
(5, 17, 18)	:0
(6, 7, 15)	:0
(6, 8, 13)	:0
(6, 8, 14)	:0
(6, 9, 13)	:0
(6, 9, 14)	:0
(6, 9, 17)	:0
(6, 10, 12)	:0
(6, 10, 14)	:0
(6, 10, 18)	:0
(6, 12, 13)	:0
(6, 12, 15)	:0
(6, 12, 16)	:0
(6, 13, 17)	:0
(6, 14, 17)	:0
(6, 14, 18)	:0
(6, 16, 17)	:0
(7, 8, 11)	:0
(7, 8, 13)	:0
(7, 9, 16)	:0
(7, 9, 17)	:0
(7, 10, 13)	:0
(7, 10, 14)	:0
(7, 11, 13)	:0
(7, 12, 13)	:0
(7, 12, 14)	:0
(7, 13, 14)	:0
(7, 13, 16)	:0
(7, 14, 17)	:0
(7, 16, 17)	:0
(8, 9, 10)	:0
(8, 9, 13)	:0
(8, 9, 15)	:0
(8, 10, 12)	:0
(8, 11, 15)	:0
(8, 12, 13)	:0
(8, 12, 17)	:0
(8, 13, 14)	:0
(8, 15, 16)	:0
(9, 10, 11)	:0
(9, 10, 12)	:0
(9, 10, 18)	:0
(9, 11, 13)	:0
(9, 11, 16)	:0
(9, 11, 17)	:0
(9, 13, 14)	:0
(9, 13, 18)	:0
(9, 15, 18)	:0
(10, 11, 14)	:0
(10, 11, 16)	:0
(10, 11, 17)	:0
(10, 13, 15)	:0
(10, 14, 16)	:0
(10, 15, 17)	:0
(11, 12, 14)	:0
(11, 12, 15)	:0
(11, 12, 16)	:0
(11, 12, 17)	:0
(11, 14, 16)	:0
(11, 14, 18)	:0
(11, 16, 17)	:0
(11, 17, 18)	:0
(12, 13, 17)	:0
(12, 14, 18)	:0
(12, 15, 16)	:0
(13, 14, 15)	:0
(13, 15, 16)	:0
(14, 15, 17)	:0
(14, 16, 17)	:0
